numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCA137629	2210	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Ocotea	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos.	Cordillera de Guacamayos. 0°40''' 77°48''' -0.666667,-77.8 SW 1490 		1490			-0.666667	-77.8		2006-03-31T00:00:00	2006-03-31T00:00:00					J. Homeier		0			
QCA137632	2230	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	muca		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, 6 km SE of Cosanga.	Cordillera de Guacamayos, 6 km SE of Cosanga. 0°38''' 77°50''' -0.633333,-77.8333 SW 1990 		1990			-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00					J. Homeier		0			
QCA137634	2270	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Endlicheria	griseo-sericea		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco, Galeras, southern slope of Sumaco volcano.	Parque Nacional Sumaco, Galeras, southern slope of Sumaco volcano. 0°35''' 77°35''' -0.583333,-77.5833 SW 1930 		1930			-0.583333	-77.5833		2006-04-08T00:00:00	2006-04-08T00:00:00					J. Homeier		0			
QCA137692	2290	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Palicourea	conferta		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1120 		1120			-0.833333	-77.5667		2006-04-13T00:00:00	2006-04-13T00:00:00					J. Homeier		0			
QCA137695	2222	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Miconia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, 6km SE of Cosanga.	Cordillera de Guacamayos, 6km SE of Cosanga. 0°38'0'' 77°50'0'' -0.633333,-77.8333 SW 2020 		2020			-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00					J. Homeier		0			
QCA137697	2281	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Oreopanax	capitatus		Ecuador	Napo	Desconocido	Desconocido	Southern slope of Symaco volcano.	Southern slope of Symaco volcano. 0°35''' 77°34''' -0.583333,-77.5667 SW 2130 		2130			-0.583333	-77.5667		2006-04-08T00:00:00	2006-04-08T00:00:00					J. Homeier		0			
QCA137698	2284	Plantae	Tracheophyta	Magnoliopsida	Ericales	Myrsinaceae	Cybianthus	occigranatensis		Ecuador	Napo	Desconocido	Desconocido	Southern slope of Sumaco volcano.	Southern slope of Sumaco volcano. 0°35'0'' 77°35'0'' -0.583333,-77.5833 SW 2010 		2010			-0.583333	-77.5833		2006-04-08T00:00:00	2006-04-08T00:00:00					J. Homeier		0			
QCA137700	2207	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	muca		Ecuador	Napo	Desconocido	Desconocido	Cordillera de los Guacamayos, close to road Cosanga to Tena.	Cordillera de los Guacamayos, close to road Cosanga to Tena. 0°41'0'' 77°48'0'' -0.683333,-77.8 SW 1500 		1500			-0.683333	-77.8		2006-03-31T00:00:00	2006-03-31T00:00:00					J. Homeier		0			
QCA137702	2197	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Ocotea	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Yanayacu Biological Station, 5km SW of Cosanga.	Area of the Yanayacu Biological Station, 5km SW of Cosanga. 0°36''' 77°53''' -0.6,-77.8833 SW 2110 		2110			-0.6	-77.8833		2006-03-29T00:00:00	2006-03-29T00:00:00					J. Homeier		0			
QCA137705	2271	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Sciodaphyllum	INDETERMINADO		Ecuador	Napo	Archidona	Cotundo	Southern slope of Sumaco volcano.	Southern slope of Sumaco volcano. 0°34'0'' 77°35'0'' -0.566667,-77.5833 SW 2080 		2080		WGS 84	-0.576025	-77.61330199999998		2006-04-08T00:00:00	2006-04-08T00:00:00					J. Homeier		0			
