Site,Plot,PlotID,Year,Sample_ID,old_treeID,new_TreeID,family,genus,species,Type,C_percent,d13C_permil,N_percent,Cb_percent,d15N_permil,bulk_d13C_permil,herbarium_id,source_file,Elevation_m
Sumaco,11.0,Sumaco_11,2025,p11-3696,260.0,3696.0,Myrtaceae,Eugenia,sericifolia,,48.1213918396029,-27.7502853493883,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3694,261.0,3694.0,Annonaceae,Annona,edulis,,44.5360243797402,-29.9369094816932,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3697,266.0,3697.0,Moraceae,Ficus,americana,,46.3914089797572,-29.7621659614053,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3699,268.0,3699.0,Euphorbiaceae,Alchornea,,,46.783402092024,-26.8080291546299,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3705,274.0,3705.0,Clusiaceae,Chrysochlamys,membranacea,,44.4928999706436,-28.5154217972384,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3706,275.0,3706.0,Myrtaceae,Eugenia,sericifolia,,47.53,-29.99,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3707,277.0,3707.0,Sapindaceae,Allophylus,floribundus,,44.0,-29.58,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3703,,3703.0,Cannabaceae,Trema,micranthum,,,,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3671,279.0,3671.0,Moraceae,Ficus,americana ssp. andicola,,45.2362896630833,-30.1482582574746,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3675,282.0,3675.0,Lauraceae,Ocotea,oblonga,,44.2398053054314,-30.9215739411336,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3682,289.0,3682.0,Sapindaceae,Allophylus,floribundus,,45.83,-30.7,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3678,293.0,3678.0,Malvaceae,Matisia,castano,,45.7,-28.51,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3669,305.0,3669.0,Sapindaceae,Allophylus,floribundus,,45.09,-29.57,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3683,,3683.0,Solanaceae,Cestrum,megalophyllum,,44.1934043034891,-29.60077378611,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3661,309.0,3661.0,Euphorbiaceae,Alchornea,cf latifolia,,42.626780717446,-29.5042088097356,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2025,p12-3665,,3665.0,Clusiaceae,Chrysochlamys,membranacea,,42.4669432683905,-27.9248796397274,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,16.0,Sumaco_16,2025,p16-3745,380.0,3745.0,Myrtaceae,Eugenia,,,43.6393025590442,-28.5993741017047,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,16.0,Sumaco_16,2025,p16-3746,381.0,3746.0,Burseraceae,Protium,,,44.7891446461423,-28.4742516013152,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,16.0,Sumaco_16,2025,p16-3747,386.0,3747.0,Moraceae,Perebea,xanthochyma,,44.3562337040605,-31.0437960900488,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,16.0,Sumaco_16,2025,p16-3740,389.0,3740.0,Burseraceae,Protium,,,44.4423161856357,-29.2027014618564,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,16.0,Sumaco_16,2025,p16-3739,396.0,3739.0,Fabaceae,Inga,,,44.0953546333809,-29.6131347716613,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,16.0,Sumaco_16,2025,p16-3757,399.0,3757.0,Lauraceae,Cryptocarya,,,44.5613269545991,-31.1476958478239,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,18.0,Sumaco_18,2025,p18-3763,427.0,3763.0,Fabaceae,Inga,,,45.75,-30.22,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,18.0,Sumaco_18,2025,p18-3761,431.0,3761.0,Malpighiaceae,Bunchosia,,,48.7619621305523,-32.8848407954101,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,18.0,Sumaco_18,2025,p18-3769,440.0,3769.0,Lauraceae,Ocotea,,,43.7921405430319,-28.2786435336902,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,18.0,Sumaco_18,2025,p18-3767,441.0,3767.0,Fabaceae,,,,43.796045219721,-29.42478812595,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,18.0,Sumaco_18,2025,p18-3770,,3770.0,Lauraceae,Aniba,coto,,44.2751425357342,-30.2490921408534,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,18.0,Sumaco_18,2025,p18-3766,,3766.0,Lauraceae,,,,44.5825644590188,-31.8572011580476,,,,,,Sumaco_cellulose.xlsx,1500.0
Sumaco,12.0,Sumaco_12,,p12-3686,,3686.0,,,,,43.53,-33.73,,,,,,Sumaco_cellulose.xlsx,2000.0
Galeras,23.0,Galeras_23,2006,p23-557,557.0,,Quiinaceae,Lacunaria,crenata,leaf pulverized,45.55299539893652,-29.28958972049875,1.9123726429161678,48.55310575620023,1.96067777139575,-31.45873059218226,3737,Galeras_cellulose.xlsx,1000.0
Galeras,23.0,Galeras_23,2006,p23-557,557.0,,Quiinaceae,Lacunaria,crenata,leaf pulverized,43.3604790180212,-29.4277878972228,1.9123726429161678,48.55310575620023,1.96067777139575,-31.45873059218226,3737,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-550,550.0,,Melastomataceae,,,leaf pulverized,47.41139913597374,-29.7236591091723,2.523026048763594,46.50527989796192,4.37,-30.31,,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-550,550.0,,Melastomataceae,,,leaf pulverized,47.2077120182068,-29.7239225267736,2.523026048763594,46.50527989796192,4.37,-30.31,,Galeras_cellulose.xlsx,1000.0
